iter	Passed	Remaining
468	705	799
469	706	797
470	707	794
471	708	792
472	709	790
473	710	788
474	711	786
475	712	784
476	713	782
477	715	780
478	716	778
479	717	776
480	718	774
481	719	772
482	720	770
483	721	768
484	722	767
485	723	765
486	724	763
487	726	761
488	727	759
489	728	757
490	729	756
491	730	754
492	731	752
493	732	750
494	733	748
495	734	746
496	735	744
497	736	742
498	737	740
499	738	738
500	739	736
501	741	735
502	742	733
503	743	731
504	744	729
505	745	728
506	747	726
507	748	724
508	749	722
509	750	721
510	751	719
511	753	717
512	754	715
513	754	713
514	755	711
515	756	709
516	757	708
517	759	706
518	760	704
519	761	702
520	762	701
521	763	699
522	764	697
523	765	695
524	766	693
525	768	692
526	769	690
527	770	688
528	771	686
529	772	685
530	773	683
531	774	681
532	775	679
533	777	678
534	778	676
535	779	675
536	781	673
537	782	671
538	783	669
539	784	668
540	785	666
541	786	664
542	787	663
543	788	661
544	789	659
545	790	657
546	791	655
547	792	653
548	794	652
549	795	650
550	796	649
551	797	647
552	798	645
553	799	643
554	800	642
555	801	640
556	802	638
557	803	636
558	804	634
559	805	633
560	806	631
561	807	629
562	808	627
563	809	625
564	810	624
565	811	622
566	812	620
567	813	618
568	815	617
569	816	615
570	817	614
571	818	612
572	819	610
573	820	608
574	821	607
575	822	605
576	823	603
577	824	601
578	825	600
579	826	598
580	827	596
581	828	594
582	829	593
583	830	591
584	831	590
585	833	588
586	834	587
587	835	585
588	836	583
589	837	582
590	838	580
591	839	578
592	841	577
593	842	575
594	843	574
595	844	572
596	845	570
597	846	569
598	847	567
599	849	566
600	850	564
601	851	563
602	852	561
603	853	559
604	855	558
605	856	556
606	857	555
607	858	553
608	860	552
609	861	550
610	862	548
611	863	547
612	864	545
613	866	544
614	867	543
615	869	541
616	870	540
617	871	538
618	872	536
619	873	535
620	874	533
621	875	532
622	877	530
623	878	529
624	879	527
625	880	526
626	881	524
627	883	523
628	884	521
629	886	520
630	887	518
631	888	517
632	889	515
633	891	514
634	892	512
635	893	511
636	894	509
637	895	508
638	897	506
639	898	505
640	899	503
641	900	502
642	901	500
643	903	499
644	904	497
645	905	496
646	906	494
647	907	493
648	908	491
649	910	490
650	911	488
651	912	486
652	913	485
653	914	483
654	915	482
655	916	480
656	917	479
657	918	477
658	920	476
659	921	474
660	922	473
661	923	471
662	925	470
663	926	468
664	927	467
665	928	465
666	930	464
667	931	463
668	933	461
669	934	460
670	935	458
671	936	457
672	938	455
673	939	454
674	941	453
675	942	451
676	943	450
677	944	448
678	945	447
679	947	445
680	948	444
681	949	442
682	950	441
683	951	439
684	953	438
685	954	436
686	956	435
687	957	434
688	958	432
689	959	431
690	961	429
691	962	428
692	963	426
693	964	425
694	966	423
695	967	422
696	968	421
697	969	419
698	971	418
699	972	416
700	974	415
701	975	414
702	976	412
703	978	411
704	979	409
705	980	408
706	981	406
707	983	405
708	984	403
709	985	402
710	986	400
711	987	399
712	988	397
713	989	396
714	991	395
715	992	393
716	994	392
717	995	390
718	996	389
719	997	387
720	998	386
721	1000	385
722	1001	383
723	1002	382
724	1003	380
725	1004	379
726	1005	377
727	1006	376
728	1008	374
729	1009	373
730	1010	371
731	1012	370
732	1013	369
733	1015	367
734	1016	366
735	1017	364
736	1018	363
737	1019	361
738	1020	360
739	1022	359
740	1023	357
741	1024	356
742	1025	354
743	1026	353
744	1028	351
745	1029	350
746	1030	348
747	1031	347
748	1032	346
749	1034	344
750	1035	343
751	1036	341
752	1037	340
753	1038	338
754	1039	337
755	1040	335
756	1040	334
757	1041	332
758	1042	331
759	1044	329
760	1045	328
761	1047	327
762	1048	325
763	1049	324
764	1050	322
765	1051	321
766	1052	319
767	1053	318
768	1054	316
769	1055	315
770	1056	313
771	1058	312
772	1059	311
773	1060	309
774	1061	308
775	1063	306
776	1064	305
777	1065	304
778	1066	302
779	1067	301
780	1069	299
781	1070	298
782	1072	297
783	1073	295
784	1074	294
785	1075	292
786	1076	291
787	1077	289
788	1078	288
789	1079	287
790	1081	285
791	1082	284
792	1083	282
793	1084	281
794	1086	280
795	1087	278
796	1088	277
797	1089	275
798	1090	274
799	1091	272
800	1092	271
801	1093	270
802	1094	268
803	1095	267
804	1096	265
805	1098	264
806	1099	262
807	1100	261
808	1101	260
809	1102	258
810	1104	257
811	1105	255
812	1106	254
813	1107	253
814	1108	251
815	1109	250
816	1111	248
817	1112	247
818	1113	246
819	1114	244
820	1116	243
821	1117	241
822	1118	240
823	1119	239
824	1120	237
825	1121	236
826	1122	234
827	1123	233
828	1124	231
829	1125	230
830	1126	229
831	1127	227
832	1129	226
833	1130	224
834	1131	223
835	1132	222
836	1133	220
837	1134	219
838	1135	217
839	1136	216
840	1137	215
841	1138	213
842	1139	212
843	1140	210
844	1141	209
845	1142	208
846	1143	206
847	1144	205
848	1145	203
849	1146	202
850	1147	200
851	1148	199
852	1149	198
853	1150	196
854	1152	195
855	1153	194
856	1154	192
857	1155	191
858	1156	189
859	1157	188
860	1158	187
861	1159	185
862	1160	184
863	1161	182
864	1162	181
865	1163	180
866	1164	178
867	1165	177
868	1166	175
869	1168	174
870	1169	173
871	1171	171
872	1172	170
873	1173	169
874	1174	167
875	1175	166
876	1176	165
877	1177	163
878	1178	162
879	1179	160
880	1180	159
881	1181	158
882	1182	156
883	1183	155
884	1184	153
885	1185	152
886	1186	151
887	1188	149
888	1189	148
889	1190	147
890	1191	145
891	1192	144
892	1193	143
893	1194	141
894	1195	140
895	1196	138
896	1197	137
897	1198	136
898	1199	134
899	1200	133
900	1201	132
901	1202	130
902	1203	129
903	1204	127
904	1206	126
905	1207	125
906	1208	123
907	1209	122
908	1210	121
909	1212	119
910	1213	118
911	1214	117
912	1215	115
913	1216	114
914	1217	113
915	1218	111
916	1219	110
917	1220	108
918	1221	107
919	1222	106
920	1223	104
921	1224	103
922	1226	102
923	1227	100
924	1228	99
925	1229	98
926	1230	96
927	1231	95
928	1232	94
929	1233	92
930	1234	91
931	1235	90
932	1236	88
933	1237	87
934	1238	86
935	1239	84
936	1241	83
937	1242	82
938	1243	80
939	1244	79
940	1245	78
941	1246	76
942	1248	75
943	1249	74
944	1250	72
945	1251	71
946	1252	70
947	1253	68
948	1254	67
949	1255	66
950	1256	64
951	1257	63
952	1258	62
953	1260	60
954	1261	59
955	1262	58
956	1263	56
957	1264	55
958	1265	54
959	1266	52
960	1267	51
961	1268	50
962	1269	48
963	1270	47
964	1271	46
965	1273	44
966	1274	43
967	1275	42
968	1276	40
969	1277	39
970	1279	38
971	1280	36
972	1281	35
973	1282	34
974	1283	32
975	1285	31
976	1286	30
977	1287	28
978	1288	27
979	1289	26
980	1290	24
981	1291	23
982	1292	22
983	1293	21
984	1294	19
985	1295	18
986	1297	17
987	1298	15
988	1299	14
989	1300	13
990	1301	11
991	1302	10
992	1303	9
993	1304	7
994	1305	6
995	1307	5
996	1308	3
997	1308	2
998	1310	1
999	1311	0
